id,price,brand,model,processor,ram memory,display size,storage capacity,cpu cores,graphics card,rating,reviews,name
5bffcd46c3,129900,apple,MacBook Air,6.5,8,13.3,256,8,2500.0,4.8,73,Apple MacBook Air 13-inch M1 256GB - Oliz Store
24305711ad,27999,lenovo,Ideapad 1,2.0,4,14.0,128,2,,3.3,3,Lenovo Ideapad 1 Intel Celeron N4020 – 4GB DDR4 RAM – 128GB eMMC Storage – Intel UHD Graphics – 14″ Display – Windows 11 – Cloud Grey
822dfcd434,69999,dell,Vostro 3520,5.0,16,15.6,512,10,,4.5,13,"Dell Vostro 3520 i5 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black"
217f013439,101999,acer,Nitro 5,7.0,16,15.6,512,8,1650.0,5.0,1,Acer Nitro 5 Ryzen 7 5800H 16GB Ram 512GB SSD GTX 1650 144hz RGB
afc24e7af0,61500,hp,Victus 15,5.0,16,15.6,512,6,3050.0,4.6,10,"HP Victus 15 i5 13th Gen 13420H / 16GB DDR4 RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 3050 6GB GPU / 15.6"" FHD 144Hz Display / Windows 11 Home / Backlit Keyboard"
16067d2751,249000,apple,MacBook Air,8.5,8,15.6,512,8,,0.0,8,"Apple MacBook Air (15-inch, M3 Chip) 8C-CPU, 10C-GPU, 8GB RAM, 512GB SSD - EvoStore"
ec264ee005,32999,lenovo,V15 celeron,2.0,4,15.6,256,2,,4.4,18,"Lenovo V15 celeron 4GB RAM 256GB SSD,15.6 inch HD Display"
68848b576a,59999,hp,Victus 15,5.0,8,15.6,512,6,3050.0,4.6,14,"HP Victus 15 i5 13th Gen 13420H / 8GB RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 3050 6GB GPU / 15.6"" FHD 144Hz Display / Windows 11 Home / Backlit Keyboard"
dd5ad287ae,111499,hp,Victus 15,5.0,16,15.6,512,8,3050.0,4.7,6,"HP Victus 15 Core i5 13th Gen Intel 13420H /NVidia RTX 3050 6GB Graphics /16GB RAM/512GB SSD/15.6"" 144Hrz/Backlit Keyboard/Win 11"
c796a503a8,69990,acer,Aspire 5,5.0,8,15.6,512,6,,4.7,6,"Acer Aspire 5 Core i5 13th Gen/8GB RAM/512GB SSD/15.6"" FHD/Win 11"
bbe8bee61c,52999,dell,Vostro 3520,3.0,8,15.6,512,4,1500.0,4.2,22,Dell Vostro 3520 I3-12th gen 8GB RAM/512GB SSD/15.6 Display
a6b3af13b4,126999,acer,Nitro 5,5.0,16,15.6,512,8,4050.0,4.7,3,"Acer Nitro 5 i5 12th Gen | 16GB DDR5 RAM | 512GB SSD | RTX 4050 6GB Graphics | 15.6"" FHD 144Hz"
b50ecce78a,65000,acer,Nitro V,5.0,8,15.6,512,8,4050.0,5.0,1,"Acer Nitro V 15 2023 | 13th Gen Intel Core i5-13420H Processor | 8GB DDR5 RAM 4800MHz | 512GB PCIe NVMe SSD | NVIDIA RTX 4050 6GB Graphics | 15.6"" FHD 144Hz Display | Gaming Laptop | Acer Nitro | Laptop | Black | 1 Year Warranty"
e53a16f2bc,139999,acer,Nitro V,7.0,16,15.6,512,8,4050.0,4.0,1,"Acer Nitro V i7 13th Gen 13620H | 16GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD 144Hz"
36c2e1270f,89999,hp,Victus 15,5.0,16,15.6,512,6,2050.0,5.0,1,HP Victus 15-FB1013DX (AMD Ryzen 5-7535HS Processor| 8GB RAM | 512GB Storage | NVIDIA RTX 2050 Graphics | 15.6-inch FHD 144Hz Display
c5479808a3,35899,hp,Victus 15,5.0,8,15.6,512,6,2050.0,4.7,9,HP Victus 15 Gaming Laptop AMD Ryzen 5 7535HS / 8GB DDR5 RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 2050 4GB Graphics / 15.6″ FHD 144Hz Display / Windows 11 Home
d89205c7ae,54999,dell,Vostro 3520,3.0,16,15.6,512,6,,4.7,6,"Dell Vostro 3520 i3 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD Display Laptop"
012a16c221,143900,acer,Nitro V,5.0,16,15.6,512,8,4050.0,4.0,1,"Acer Nitro V i5 13th Gen 13420H | 16GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD 144Hz | Win 11"
587405910d,108999,hp,Victus 15,5.0,16,15.6,512,8,3050.0,0.0,0,HP Victus 15 i5 13th Gen 16GB 512GB RTX 3050 15.6 144Hz Win 11
217fab8a83,116499,acer,Nitro V,5.0,8,15.6,512,8,3050.0,0.0,0,"Acer Nitro V 15 Intel Core i5 13th Gen 13420H - 8GB DDR5 RAM - 512GB NVMe SSD - NVIDIA RTX 3050 6GB Graphics - 15.6"" FHD 144Hz Display - Backlit Keyboard"
7f992eb8db,118000,acer,Nitro V,5.0,16,15.6,512,6,4050.0,0.0,0,"Acer Nitro V 15 2023 i5 13420H | RTX 4050 6GB | 16GB RAM | 512GB SSD | 15.6"" FHD 144Hz display | 1 Year Warranty"
34741644ab,68399,lenovo,ideapad Slim,5.0,8,15.6,512,8,1500.0,4.3,8,Lenovo ideapad Slim 3 i5 13th Gen 8GB RAM 512ssd 15.6 Screen Laptop
b34bc59185,39999,dell,Latitude E5470,5.0,8,14.0,256,2,,3.7,3,"Dell Latitude E5470 I5-6th Gen | 8 GB RAM | 256 GB SSD | 14"" Screen"
9ee7a34d77,52990,lenovo,Ideapad Slim,3.0,8,15.6,256,4,1500.0,4.5,6,"Lenovo Ideapad Slim 3 i3 13th Gen 8GB RAM 256GB ssd 15.6"" FHD Laptop"
ab3627d1f9,99999,mi,Notebook Pro,5.0,16,14.0,512,2,,5.0,5,Mi Notebook Pro Intel Core i5 11th Gen16GB/512GB SSD/Iris Xe Graphics 14 Inch Laptop
0f245a3661,53990,acer,Aspire 5,3.0,8,15.6,1024,2,,4.0,7,"Acer Aspire 5 / Core i3 11th Gen / 8GB RAM / 128GB SSD / 1TB HDD / 15.6"" FHD / WIN10 Genuine Laptop"
c87feaa0c3,36000,dell,Celeron 5470,2.0,8,14.0,256,4,1500.0,5.0,2,Dell Celeron 5470 Intel UHD 8/256GB SSD
