price,brand,model,processor,ram memory,display size,storage capacity,cpu cores,graphics card,graphics memory,rating,reviews,name
129900,apple,MacBook Air,Not Specified,8,13.3,256,,,,4.8,73,Apple MacBook Air 13-inch M1 256GB - Oliz Store
27999,lenovo,Ideapad 1,Celeron Dual core,4,14,128,Dual Core,,,3.3,3,Lenovo Ideapad 1 Intel Celeron N4020 – 4GB DDR4 RAM – 128GB eMMC Storage – Intel UHD Graphics – 14″ Display – Windows 11 – Cloud Grey
64999,dell,Vostro 3520,Intel Core i5,16,15.6,512,Not Specified,,,4.5,13,"Dell Vostro 3520 i5 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black"
101999,acer,Nitro 5,Ryzen 7,16,15.6,512,,,,5.0,1,Acer Nitro 5 Ryzen 7 5800H 16GB Ram 512GB SSD GTX 1650 144hz RGB
107999,hp,Victus 15,Intel Core i5,16,15.6,512,,,,4.6,10,"HP Victus 15 i5 13th Gen 13420H / 16GB DDR4 RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 3050 6GB GPU / 15.6"" FHD 144Hz Display / Windows 11 Home / Backlit Keyboard"
249000,apple,MacBook Air,Not Specified,8,15.6,512,,,,0.0,0,"Apple MacBook Air (15-inch, M3 Chip) 8C-CPU, 10C-GPU, 8GB RAM, 512GB SSD - EvoStore"
32999,lenovo,V15 celeron,Intel Celeron,4,15.6,256,Dual Core,,,4.4,18,"Lenovo V15 celeron 4GB RAM 256GB SSD,15.6 inch HD Display"
105999,hp,Victus 15,Intel Core i5,8,15.6,512,,,,4.6,14,"HP Victus 15 i5 13th Gen 13420H / 8GB RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 3050 6GB GPU / 15.6"" FHD 144Hz Display / Windows 11 Home / Backlit Keyboard"
111499,hp,Victus 15,Intel Core i5,16,15.6,512,Octa Core,,6,4.7,6,"HP Victus 15 Core i5 13th Gen Intel 13420H /NVidia RTX 3050 6GB Graphics /16GB RAM/512GB SSD/15.6"" 144Hrz/Backlit Keyboard/Win 11"
69990,acer,Aspire 5,Intel Core i5,8,15.6,512,,,,4.7,6,"Acer Aspire 5 Core i5 13th Gen/8GB RAM/512GB SSD/15.6"" FHD/Win 11"
52999,dell,Vostro 3520,Intel Core i3,8,15.6,512,Quad Core,,,4.2,22,Dell Vostro 3520 I3-12th gen 8GB RAM/512GB SSD/15.6 Display
124999,acer,Nitro 5,Intel Core i5,16,15.6,512,,,6,4.7,3,"Acer Nitro 5 i5 12th Gen | 16GB DDR5 RAM | 512GB SSD | RTX 4050 6GB Graphics | 15.6"" FHD 144Hz"
117900,acer,Nitro V,Intel Core i5,8,15.6,512,,,,5.0,1,"Acer Nitro V 15 2023 | 13th Gen Intel Core i5-13420H Processor | 8GB DDR5 RAM 4800MHz | 512GB PCIe NVMe SSD | NVIDIA RTX 4050 6GB Graphics | 15.6"" FHD 144Hz Display | Gaming Laptop | Acer Nitro | Laptop | Black | 1 Year Warranty"
136999,acer,Nitro V,Intel Core i7,16,15.6,512,,,6,4.0,1,"Acer Nitro V i7 13th Gen 13620H | 16GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD 144Hz"
89999,hp,Victus 15,Ryzen 5,16,15.6,512,,,,5.0,1,HP Victus 15-FB1013DX (AMD Ryzen 5-7535HS Processor| 8GB RAM | 512GB Storage | NVIDIA RTX 2050 Graphics | 15.6-inch FHD 144Hz Display
